"letter","slot","n"
"A",1,33
"B",1,247
"C",1,249
"D",1,138
"E",1,22
"F",1,181
"G",1,170
"H",1,133
"I",1,9
"J",1,42
"K",1,35
"L",1,132
"M",1,116
"N",1,60
"O",1,22
"P",1,191
"Q",1,22
"R",1,118
"S",1,519
"T",1,215
"U",1,3
"V",1,35
"W",1,149
"Y",1,30
"Z",1,10
"A",2,466
"B",2,248
"C",2,287
"D",2,142
"E",2,348
"F",2,184
"G",2,172
"H",2,355
"I",2,294
"J",2,42
"K",2,50
"L",2,363
"M",2,129
"N",2,104
"O",2,461
"P",2,252
"Q",2,36
"R",2,444
"S",2,526
"T",2,320
"U",2,249
"V",2,37
"W",2,195
"X",2,1
"Y",2,46
"Z",2,11
"A",3,860
"B",3,280
"C",3,357
"D",3,211
"E",3,648
"F",3,204
"G",3,234
"H",3,363
"I",3,558
"J",3,42
"K",3,80
"L",3,523
"M",3,201
"N",3,307
"O",3,747
"P",3,307
"Q",3,36
"R",3,714
"S",3,652
"T",3,431
"U",3,452
"V",3,57
"W",3,243
"X",3,21
"Y",3,89
"Z",3,21
"A",4,949
"B",4,312
"C",4,479
"D",4,331
"E",4,999
"F",4,248
"G",4,339
"H",4,428
"I",4,627
"J",4,42
"K",4,207
"L",4,691
"M",4,287
"N",4,518
"O",4,795
"P",4,407
"Q",4,37
"R",4,843
"S",4,805
"T",4,679
"U",4,505
"V",4,87
"W",4,293
"X",4,27
"Y",4,104
"Z",4,35
"A",5,958
"B",5,319
"C",5,533
"D",5,404
"E",5,1281
"F",5,274
"G",5,382
"H",5,555
"I",5,630
"J",5,42
"K",5,299
"L",5,748
"M",5,308
"N",5,574
"O",5,797
"P",5,454
"Q",5,37
"R",5,869
"S",5,867
"T",5,846
"U",5,509
"V",5,95
"W",5,303
"X",5,28
"Y",5,106
"Z",5,41
"A",6,958
"B",6,315
"C",6,537
"D",6,411
"E",6,1372
"F",6,273
"G",6,394
"H",6,618
"I",6,630
"J",6,42
"K",6,306
"L",6,756
"M",6,311
"N",6,579
"O",6,798
"P",6,455
"Q",6,37
"R",6,869
"S",6,861
"T",6,878
"U",6,509
"V",6,95
"W",6,302
"X",6,29
"Y",6,106
"Z",6,43
"A",7,958
"B",7,298
"C",7,508
"D",7,409
"E",7,1378
"F",7,261
"G",7,383
"H",7,620
"I",7,630
"J",7,42
"K",7,306
"L",7,751
"M",7,311
"N",7,578
"O",7,798
"P",7,441
"Q",7,31
"R",7,858
"S",7,771
"T",7,853
"U",7,509
"V",7,95
"W",7,293
"X",7,29
"Y",7,106
"Z",7,42
"A",8,945
"B",8,202
"C",8,388
"D",8,373
"E",8,1360
"F",8,199
"G",8,312
"H",8,562
"I",8,626
"J",8,37
"K",8,297
"L",8,700
"M",8,289
"N",8,561
"O",8,775
"P",8,369
"Q",8,8
"R",8,788
"S",8,530
"T",8,751
"U",8,503
"V",8,86
"W",8,242
"X",8,29
"Y",8,100
"Z",8,42
"A",9,845
"B",9,104
"C",9,276
"D",9,293
"E",9,1247
"F",9,116
"G",9,247
"H",9,355
"I",9,542
"J",9,14
"K",9,269
"L",9,488
"M",9,207
"N",9,509
"O",9,653
"P",9,245
"Q",9,2
"R",9,463
"S",9,390
"T",9,611
"U",9,409
"V",9,65
"W",9,140
"X",9,29
"Y",9,82
"Z",9,37
"A",10,314
"B",10,73
"C",10,246
"D",10,258
"E",10,893
"F",10,91
"G",10,189
"H",10,273
"I",10,194
"K",10,257
"L",10,373
"M",10,176
"N",10,417
"O",10,213
"P",10,202
"R",10,282
"S",10,345
"T",10,537
"U",10,139
"V",10,59
"W",10,110
"X",10,27
"Y",10,62
"Z",10,32
"A",11,7
"B",11,58
"C",11,6
"D",11,215
"E",11,693
"F",11,46
"G",11,111
"H",11,220
"I",11,1
"K",11,215
"L",11,165
"M",11,91
"N",11,160
"O",11,12
"P",11,145
"R",11,82
"S",11,87
"T",11,418
"U",11,5
"V",11,1
"W",11,62
"X",11,24
"Y",11,49
"Z",11,8
