"letter","slot","n"
"R",1,1
"S",1,2
"C",2,3
"D",2,1
"H",2,1
"P",2,2
"S",2,72
"T",2,24
"B",3,97
"C",3,160
"D",3,36
"F",3,74
"G",3,85
"H",3,34
"K",3,16
"L",3,1
"P",3,80
"R",3,2
"S",3,322
"T",3,123
"W",3,48
"Y",3,6
"B",4,150
"C",4,120
"D",4,101
"F",4,107
"G",4,85
"H",4,325
"J",4,42
"K",4,35
"L",4,359
"M",4,131
"N",4,96
"P",4,169
"Q",4,36
"R",4,516
"S",4,125
"T",4,170
"V",4,36
"W",4,145
"Y",4,33
"Z",4,11
"A",5,736
"E",5,562
"I",5,493
"O",5,700
"U",5,366
"Y",5,24
"A",6,220
"B",6,52
"C",6,126
"D",6,102
"E",6,168
"F",6,48
"G",6,90
"H",6,2
"I",6,136
"K",6,40
"L",6,203
"M",6,130
"N",6,343
"O",6,98
"P",6,106
"R",6,258
"S",6,186
"T",6,171
"U",6,138
"V",6,38
"W",6,107
"X",6,25
"Y",6,42
"Z",6,16
"A",7,2
"B",7,20
"C",7,117
"D",7,144
"E",7,435
"F",7,45
"G",7,132
"H",7,93
"I",7,1
"K",7,211
"L",7,185
"M",7,47
"N",7,133
"P",7,98
"Q",7,1
"R",7,91
"S",7,142
"T",7,297
"U",7,3
"V",7,21
"W",7,3
"X",7,3
"Y",7,1
"Z",7,13
"C",8,11
"D",8,28
"E",8,192
"G",8,3
"H",8,155
"K",8,5
"L",8,8
"M",8,3
"N",8,7
"R",8,1
"S",8,23
"T",8,86
"U",8,2
"X",8,1
"Z",8,2
"D",9,1
"E",9,22
"H",9,17
"S",9,2
"T",9,21
"Z",9,1
"H",10,1
